id,nome,chiave,ruolo,squadra,modulo,allenatore,titolare,giornata_testo
119945,Wesley,wesley,D,Roma,4-2-3,Gasperini,1,sabato 19 settembre 2026 - ore 18:00
17744,Cristante B.,cristante,C,Roma,4-2-3,Gasperini,1,sabato 19 settembre 2026 - ore 18:00
70392,Kone M.,kone,C,Roma,4-2-3,Gasperini,1,sabato 19 settembre 2026 - ore 18:00
37689,Dybala P.,dybala,A,Roma,4-2-3,Gasperini,1,sabato 19 settembre 2026 - ore 18:00
63371,Malen D.,malen,A,Roma,4-2-3,Gasperini,1,sabato 19 settembre 2026 - ore 18:00
111438,Soule M.,soule,A,Roma,4-2-3,Gasperini,1,sabato 19 settembre 2026 - ore 18:00
95090,Josep Martinez,josepmartinez,P,Inter,4-3-2,Chivu,1,sabato 19 settembre 2026 - ore 18:00
51611,Akanji M.,akanji,D,Inter,4-3-2,Chivu,1,sabato 19 settembre 2026 - ore 18:00
61306,Bastoni A.,bastoni,D,Inter,4-3-2,Chivu,1,sabato 19 settembre 2026 - ore 18:00
117151,Bisseck Y.,bisseck,D,Inter,4-3-2,Chivu,1,sabato 19 settembre 2026 - ore 18:00
49778,Dimarco F.,dimarco,D,Inter,4-3-2,Chivu,1,sabato 19 settembre 2026 - ore 18:00
45456,Barella N.,barella,C,Inter,4-3-2,Chivu,1,sabato 19 settembre 2026 - ore 18:00
109651,Diouf A.,diouf,C,Inter,4-3-2,Chivu,1,sabato 19 settembre 2026 - ore 18:00
38482,Zielinski P.,zielinski,C,Inter,4-3-2,Chivu,1,sabato 19 settembre 2026 - ore 18:00
67777,Lautaro Martinez,lautaromartinez,A,Inter,4-3-2,Chivu,1,sabato 19 settembre 2026 - ore 18:00
63275,Thuram M.,thuram,A,Inter,4-3-2,Chivu,1,sabato 19 settembre 2026 - ore 18:00
102651,Stankovic F.,stankovic,P,Venezia,3-2-2,Stroppa,1,sabato 19 settembre 2026 - ore 20:45
111487,Halhal R.,halhal,D,Venezia,3-2-2,Stroppa,1,sabato 19 settembre 2026 - ore 20:45
38177,Haps R.,haps,D,Venezia,3-2-2,Stroppa,1,sabato 19 settembre 2026 - ore 20:45
119759,Schingtienne J.,schingtienne,D,Venezia,3-2-2,Stroppa,1,sabato 19 settembre 2026 - ore 20:45
115181,Hainaut A.,hainaut,C,Venezia,3-2-2,Stroppa,1,sabato 19 settembre 2026 - ore 20:45
94761,Kike Perez,kikeperez,C,Venezia,3-2-2,Stroppa,1,sabato 19 settembre 2026 - ore 20:45
118061,Adams A.,adams,A,Venezia,3-2-2,Stroppa,1,sabato 19 settembre 2026 - ore 20:45
102086,Yeboah J.,yeboah,A,Venezia,3-2-2,Stroppa,1,sabato 19 settembre 2026 - ore 20:45
118319,Mandas C.,mandas,P,Lazio,3-4-2,Gattuso,1,sabato 19 settembre 2026 - ore 20:45
111607,Floriani Mussolini R.,florianimussolini,D,Lazio,3-4-2,Gattuso,1,sabato 19 settembre 2026 - ore 20:45
72863,Nuno Tavares,nunotavares,D,Lazio,3-4-2,Gattuso,1,sabato 19 settembre 2026 - ore 20:45
119843,Provstgaard Nielsen O.,provstgaardnielsen,D,Lazio,3-4-2,Gattuso,1,sabato 19 settembre 2026 - ore 20:45
115389,Belahyane R.,belahyane,C,Lazio,3-4-2,Gattuso,1,sabato 19 settembre 2026 - ore 20:45
61532,Frattesi D.,frattesi,C,Lazio,3-4-2,Gattuso,1,sabato 19 settembre 2026 - ore 20:45
102241,Taylor K.,taylor,C,Lazio,3-4-2,Gattuso,1,sabato 19 settembre 2026 - ore 20:45
43177,Zaccagni M.,zaccagni,C,Lazio,3-4-2,Gattuso,1,sabato 19 settembre 2026 - ore 20:45
102766,Cancellieri M.,cancellieri,A,Lazio,3-4-2,Gattuso,1,sabato 19 settembre 2026 - ore 20:45
59346,Pinamonti A.,pinamonti,A,Lazio,3-4-2,Gattuso,1,sabato 19 settembre 2026 - ore 20:45
16631,David de Gea,daviddegea,P,Fiorentina,4-4-0,,1,domenica 20 settembre 2026 - ore 12:30
118586,Alex Jimenez,alexjimenez,D,Fiorentina,4-4-0,,1,domenica 20 settembre 2026 - ore 12:30
