id,nome,ruolo,squadra,mv,presenze,fm,gol,assist,rig_segnati,rig_sbagliati,gol_subiti,rig_parati,ammonizioni,espulsioni,giornata,giornate_giocate,stagione,chiave,squadra_prev,mv_prev,fm_prev,presenze_prev,gol_prev,assist_prev,rig_segnati_prev,rig_sbagliati_prev,gol_subiti_prev,rig_parati_prev,ammonizioni_prev,espulsioni_prev,cambiato_squadra,delta_fm,da_titolare,subentrato,sostituito,pct_titolare,squadra_n,modulo,titolare_prob,titolare,titolare_fonte,rigorista,piazzati,indisponibile,infortunio,rientro_data,rientro_nota,giorni_stop,stop_lungo,gs_squadra,pg_squadra,gs_partita_squadra,gs_squadra_prev,pg_squadra_prev,gs_partita_squadra_prev,eta,nato_il,nome_completo,soprannome,obiettivo,fm_ponderata,bonus,punteggio,fascia,prezzo_indicativo
120499,Bakoune,D,Monza,5.75,3,5.75,0,0,0,0,0,0,0,0,5,4,2026-2027,bakoune,,,,,,,,,,,,,0,,1,2,1,0.25,monza,5-3-1,1,1,probabili formazioni,0,0,,,,,,,11,4,2.75,,,,20,06/02/2006,,,,5.75,0.7,6.45,Scommessa,1-4
95361,Balerdi,D,Roma,6.25,2,6.25,0,0,0,0,0,0,0,0,5,4,2026-2027,balerdi,,,,,,,,,,,,,0,,1,1,0,0.25,roma,,0,0,,0,0,,,,,,,1,4,0.25,31.0,38.0,0.82,27,26/01/1999,,,,6.25,0.2,6.45,Scommessa,1-4
118223,Bartesaghi,D,Milan,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,bartesaghi,Milan,6.31,6.39,31.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,-0.39,1,1,1,0.25,milan,,0,0,,0,0,,,,,,,4,4,1.0,35.0,38.0,0.92,21,29/12/2005,,,,6.33,0.2,6.53,Scommessa,1-4
61306,Bastoni,D,Inter,6.38,4,6.38,0,0,0,0,0,0,0,0,5,4,2026-2027,bastoni,Inter,6.41,6.52,28.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0,-0.14,4,0,2,1.0,inter,4-3-2,1,1,probabili formazioni,0,0,,,,,,,6,4,1.5,35.0,38.0,0.92,27,13/04/1999,,,,6.48,0.7,7.18,Semi-top,15-29
120135,Belghali,D,Torino,5.75,2,6.0,0,1,0,0,0,0,0,0,5,4,2026-2027,belghali,Verona,5.83,5.94,26.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1,0.06,1,1,1,0.25,torino,,0,0,,0,0,,,,,,,7,4,1.75,61.0,38.0,1.61,24,07/06/2002,,,,5.95,0.2,6.15,Scommessa,1-4
110366,Bella-Kotchap,D,Venezia,5.83,3,5.83,0,0,0,0,0,0,0,0,5,4,2026-2027,bellakotchap,Verona,5.87,5.79,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,0.04,3,0,1,0.75,venezia,,0,0,,0,0,infortunato,,,il difensore costretto al cambio a Frosinone il 6 settembre per un risentimento muscolare mio-fasciale all'adduttore della gamba destra. Recuperabile dall'inizio di ottobre.,,sì,11,4,2.75,61.0,38.0,1.61,25,11/12/2001,,,,5.8,-0.5,5.3,Scommessa,1-4
65433,Bellanova,D,Atalanta,5.67,3,5.5,0,0,0,0,0,0,1,0,5,4,2026-2027,bellanova,Atalanta,6.09,6.07,24.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0,-0.57,2,1,0,0.5,atalanta,4-3-2,1,1,probabili formazioni,0,0,,,,,,,5,4,1.25,36.0,38.0,0.95,26,17/05/2000,,,,5.91,0.7,6.61,Scommessa,1-4
102450,Bernasconi,D,Atalanta,6.0,2,6.0,0,0,0,0,0,0,0,0,5,4,2026-2027,bernasconi,Atalanta,6.16,6.16,23.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0,-0.16,1,1,1,0.25,atalanta,,0,0,,0,0,,,,,,,5,4,1.25,36.0,38.0,0.95,23,16/11/2003,,,,6.13,0.2,6.33,Scommessa,1-4
109914,Bertola,D,Udinese,5.5,3,5.33,0,0,0,0,0,0,1,0,5,4,2026-2027,bertola,Udinese,5.98,5.94,28.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0,-0.61,0,3,0,0.0,udinese,,0,0,,0,0,,,,,,,10,4,2.5,48.0,38.0,1.26,23,23/03/2003,,,,5.79,0.2,5.99,Scommessa,1-4
61216,Birindelli,D,Monza,6.12,4,6.25,0,1,0,0,0,0,0,0,5,4,2026-2027,birindelli,,,,,,,,,,,,,0,,4,0,1,1.0,monza,5-3-1,1,1,probabili formazioni,0,0,,,,,,,11,4,2.75,,,,27,19/07/1999,,,,6.25,0.7,6.95,Medio,5-14
